2481 - LORIMAR DR south of CARDIFF BLVD,2481,5S
2482 - LORIMAR DR at MAXWELL RD,2482,5S
2492 - LORIMAR DR east of MAXWELL RD,2492,5S
1832 - LORIMAR DR at CARDIFF BLVD,1832,5S
1890 - COLUMBUS RD south of DERRY RD,1890,5S
1891 - COLUMBUS RD FIRST STOP south of DAVAND DR,1891,5S
0978 - COLUMBUS RD SECOND STOP south of DAVAND DR,978,5S
1892 - COLUMBUS RD THIRD STOP south of DAVAND DR,1892,5S
1893 - COLUMBUS RD north of MID-WAY BLVD,1893,5S
0999 - MID-WAY BLVD east of COLUMBUS RD,999,5S
1894 - MID-WAY BLVD at DAVAND DR,1894,5S
1895 - MID-WAY BLVD at DIXIE RD,1895,5S
0309 - DIXIE RD south of MID-WAY BLVD,309,5S
2520 - DIXIE RD at COURTNEYPARK DR,2520,5S
2521 - DIXIE RD at MEYERSIDE DR,2521,5S
2687 - DIXIE RD at TRINITY DR,2687,5S
2522 - DIXIE RD south of TRINITY DR,2522,5S
2606 - DIXIE RD at BRITANNIA RD,2606,5S
2605 - DIXIE RD at SHAWSON DR,2605,5S
2003 - DIXIE RD at AEROWOOD DR,2003,5S
2004 - DIXIE RD at MATHESON BLVD,2004,5S
2005 - DIXIE RD south of MATHESON BLVD,2005,5S
2007 - DIXIE RD at AIMCO BLVD,2007,5S
2008 - DIXIE RD at EGLINTON AVE,2008,5S
2010 - DIXIE RD at CRESTLAWN DR,2010,5S
2011 - DIXIE RD at SOUTH GATEWAY RD,2011,5S
3144 - DIXIE RD at DIXIE STATION,3144,5S
1512 - DIXIE RD at HICKORY DR,1512,5S
1513 - DIXIE RD at RATHBURN RD,1513,5S
1514 - DIXIE RD south of RATHBURN RD,1514,5S
1315 - DIXIE RD at BURNHAMTHORPE RD,1315,5S
